,news_url,news_title,news_description,news_claim
16,https://www.snopes.com/fact-check/cattle-vaccine-covid-19/?collection-id=241238,False,"The confusion seems to stem from the overuse of the word ""coronavirus."" ",False
17,https://www.snopes.com/fact-check/hair-dryer-coronavirus/?collection-id=241238,False,A viral video that claims breathing hot air from a hair dryer could cure COVID-19 demonstrates a basic and dangerous lack of understanding about science.,False
18,https://www.snopes.com/fact-check/gargling-eliminate-coronavirus/?collection-id=241238,False,What works for colds is unlikely to help an already-infected person stave off the COVID-19 coronavirus disease.,False
19,https://www.snopes.com/fact-check/garlic-cure-coronavirus/?collection-id=241238,False,"On the plus side, this ""treatment"" might help keep away others who could potentially infect you.",False
20,https://www.snopes.com/fact-check/lemons-coronavirus/?collection-id=241238,False,"As cures go, these ones are lemons. ",False
21,https://www.snopes.com/fact-check/covid-19-nsaids-ibuprofen/?collection-id=241238,Unproven,"French medical advice warned that ""adverse effects"" of drugs such as ibuprofen had been reported in coronavirus patients.",Unproven
22,https://www.snopes.com/news/2020/03/03/why-hand-washing-really-is-as-important-as-doctors-say/?collection-id=241238,News,Washing your hands decreases the number of microbes on your hands and helps prevent the spread of infectious diseases.,News
23,https://www.snopes.com/news/2020/03/05/what-really-works-to-keep-coronavirus-away/?collection-id=241238,News, Proper hand-washing is the best thing you can do to protect yourself from a number of diseases including COVID-19.,News
24,https://www.snopes.com/fact-check/bananas-coronavirus/?collection-id=242217,False,"Bananas are a good source of various nutrients, but eating them doesn't offer solid protection against COVID-19.",False
25,https://www.snopes.com/news/2020/03/09/coronavirus-its-time-to-debunk-claims-that-vitamin-c-could-cure-it/?collection-id=242217,News,"In the midst of the novel coronavirus outbreak, some “influencers” are claiming that taking mega-doses of vitamin C can cure COVID-19.",News
26,https://www.snopes.com/fact-check/blood-type-covid-19/?collection-id=242217,Unproven,Such an observation would have an impact on how medical professionals identify those most at risk of the disease.,Unproven
27,https://www.snopes.com/news/2020/03/30/is-the-loss-of-your-sense-of-smell-and-taste-an-early-sign-of-covid-19/?collection-id=242217,News,"Doctors from around the world are reporting cases of COVID-19 patients who have lost their sense of smell, known as anosmia, or taste, known as ageusia. ",News
28,https://www.snopes.com/fact-check/covid-19-reinfection/?collection-id=242217,Unproven,Medical professionals believe positive coronavirus retests are more likely the result of errors in testing rather than reinfection.,Unproven
29,https://www.snopes.com/fact-check/coronavirus-test-donate-blood/?collection-id=242217,False,It's not the case that all blood banks are performing coronavirus tests on donors. ,False
30,https://www.snopes.com/fact-check/red-cross-coronavirus-scams/?collection-id=242217,Scam,Scams involving the disaster relief organization are unfortunately not new.,Scam
31,https://www.snopes.com/news/2020/03/23/coronavirus-bigger-seasonal-flu/?collection-id=242217,News,A viral Facebook post argues the mutation rate of the coronavirus is responsible for its pandemic spread. There is no scientific support for that notion. ,News
32,https://www.snopes.com/fact-check/zelenko-669-coronavirus-patients/?collection-id=242217,Unproven,A blog post asserting that people responded well to an experimental COVID-19 treatment is in no way an evidence-based contribution to science.,Unproven
33,https://www.snopes.com/fact-check/johns-hopkins-covid-summary/?collection-id=242217,Misattributed,"If you're looking for reliable COVID-19 information from Johns Hopkins University, please check the university's website. ",Misattributed
34,https://www.snopes.com/fact-check/coronavirus-bulletin-farm-animals/?collection-id=242217,False,"You can take the virus out of the farm, but you can't ...",False
35,https://www.snopes.com/news/2020/03/19/stopping-coronavirus-what-does-the-evidence-say-is-best/?collection-id=242217,News,A variety of emergency responses and policy strategies have been implemented with different outcomes so far.,News
36,https://www.snopes.com/fact-check/china-hospital-10-days/?collection-id=240818,True,Millions of people are quarantined in China to prevent the spread of the virus.,True
37,https://www.snopes.com/fact-check/violent-aftermath-of-coronavirus/?collection-id=240818,Miscaptioned,Speculation does not equal evidence. ,Miscaptioned
38,https://www.snopes.com/news/2020/02/18/coronavirus-china-disinfection-video/?collection-id=240818,News,"A People's Daily video claiming to show ""full-front disinfection work"" in Wuhan included footage taken at an airport in Taiwan.",News
39,https://www.snopes.com/fact-check/china-kill-coronavirus-patients/?collection-id=240818,False,A disreputable website spread unfounded claims in the wake of a new coronavirus outbreak. ,False
40,https://www.snopes.com/fact-check/sulfur-coronavirus-cremations/?collection-id=240818,False,A data map that appeared in a popular Twitter thread did not show what some people claimed.,False
41,https://www.snopes.com/fact-check/china-cellphones-coronavirus/?collection-id=240818,Unproven,American intelligence agencies have concluded that the Chinese government itself does not know the true death toll from the coronavirus.,Unproven
42,https://www.snopes.com/fact-check/kim-jong-shot-coronavirus-patient/?collection-id=240818,Unproven,Rumors from North Korea are notoriously difficult to fact check.,Unproven
43,https://www.snopes.com/fact-check/italy-doctor-corona-not-flu/?collection-id=240818,Correct Attribution,"Physician: ""The situation is now nothing short of dramatic. No other words come to mind.""",Correct Attribution
44,https://www.snopes.com/fact-check/italy-200-deaths-24-hours/?collection-id=240818,True,"As of early March 2020, Italy had seen the worst COVID-19 outbreak outside Asia.",True
45,https://www.snopes.com/fact-check/italy-elderly-coronavirus/?collection-id=240818,Mixture,"A viral social media post claimed Italian doctors were not treating older patients with coronavirus due to ""socialized medicine.""",Mixture
46,https://www.snopes.com/fact-check/dolphins-swans-italy-lockdown/?collection-id=240818,Mixture,A few wildlife sightings were excitedly shared across social media as a note of sunny news amid the bleak reality of the coronavirus pandemic.,Mixture
47,https://www.snopes.com/fact-check/coronavirus-cameroonian-student/?collection-id=240818,False,Misinformation about the coronavirus outbreak seems to have traveled farther than the virus itself.,False
48,https://www.snopes.com/fact-check/trump-coronavirus-rally-remark/?collection-id=238766,Mixture,Trump's commentary on the new coronavirus came before the virus began killing patients in the U.S.,Mixture
49,https://www.snopes.com/fact-check/trump-fire-pandemic-team/?collection-id=238766,True,"As a new coronavirus spread in 2020, so did concerns about the United States' preparedness for a potential pandemic. ",True
50,https://www.snopes.com/fact-check/trump-cut-cdc-budget/?collection-id=238766,Mixture,"As the new coronavirus spread in February 2020, so did concerns about the United States' readiness to respond to the outbreak.",Mixture
51,https://www.snopes.com/fact-check/trump-coronavirus-habeas-corpus/?collection-id=238766,True,Any changes affecting constitutional guarantees afforded federal criminal defendants in the U.S. would ultimately be up to Congress.,True
52,https://www.snopes.com/fact-check/pelosi-coronavirus-funding/?collection-id=238766,False,"The blame game for coronavirus response is on, but some claims aren't always accurate.",False
53,https://www.snopes.com/news/2020/03/13/coronavirus-bill-abortion/?collection-id=238766,News,Sources linked to Republican and Democratic lawmakers had each accused the other side of politicizing the negotiations.,News
54,https://www.snopes.com/fact-check/obama-wait-swine-flu-n1h1/?collection-id=238766,False,"Not all ""fact checks"" are created equal. ",False
55,https://www.snopes.com/news/2020/02/27/coronavirus-plane/?collection-id=238766,News,The CDC had previously stated its intent to block anyone who tested positive for the disease caused by the new coronavirus from flying on an evacuation flight. Who overruled whom?,News
56,https://www.snopes.com/fact-check/trump-profit-covid-19/?collection-id=238766,False,"The U.S. president’s finances are complex, but does Donald Trump actually benefit from the CDC’s testing procedures for the new coronavirus?",False
57,https://www.snopes.com/fact-check/white-house-quarantine-text/?collection-id=238766,False,"Announcements of a ""national lockdown"" or ""mandatory quarantine"" would not be made via viral text messages.",False
58,https://www.snopes.com/news/2020/03/10/if-you-get-sick-with-coronavirus-can-donald-trump-make-you-stay-home/?collection-id=238766,News,"Who really is in charge of the outbreak response?  As with most things in American government, the answer is complicated.",News
59,https://www.snopes.com/fact-check/schumer-tweet-china-travel/?collection-id=238766,False,Pranksters no longer need spend time with Photoshop to create convincing fake tweets.,False
60,https://www.snopes.com/fact-check/trump-covid19-statements/?collection-id=242252,Correct Attribution,Two statements the U.S. president made roughly a week apart in March 2020 came under intense scrutiny.,Correct Attribution
61,https://www.snopes.com/fact-check/timeline-trump-covid19-responses/?collection-id=242252,Mostly True,"U.S. President Donald Trump claimed that he felt COVID-19 was a pandemic ""long before it was called a pandemic,"" but his previous recorded statements paint a different picture. ",Mostly True
62,https://www.snopes.com/fact-check/trump-coronavirus-rally-remark/?collection-id=242252,Mixture,Trump's commentary on the new coronavirus came before the virus began killing patients in the U.S.,Mixture
63,https://www.snopes.com/fact-check/trump-quote-never-died-before/?collection-id=242252,False,A number of hoaxes have circulated amid the COVID-19 pandemic.,False
64,https://www.snopes.com/fact-check/trump-say-never-blame-yourself/?collection-id=242252,Unproven,"This quote has been circulating since at least 2004, but its provenance is still unknown. ",Unproven
65,https://www.snopes.com/fact-check/trump-governors-supplies/?collection-id=242252,Mixture,A statement by the president was misleadingly represented in a quote meme.,Mixture
66,https://www.snopes.com/fact-check/trump-tweet-stimulus-checks/?collection-id=242252,False,Fake Trump tweets were just the tip of the iceberg as misinformation swirled during the COVID-19 pandemic.,False
67,https://www.snopes.com/fact-check/trump-fire-pandemic-team/?collection-id=242252,True,"As a new coronavirus spread in 2020, so did concerns about the United States' preparedness for a potential pandemic. ",True
68,https://www.snopes.com/fact-check/trump-cut-cdc-budget/?collection-id=242252,Mixture,"As the new coronavirus spread in February 2020, so did concerns about the United States' readiness to respond to the outbreak.",Mixture
69,https://www.snopes.com/fact-check/trump-chinese-virus-notes/?collection-id=242252,True,"U.S. President Donald Trump has faced criticism for his insistence in referring to COVID-19 as the ""Chinese virus.""",True
70,https://www.snopes.com/fact-check/lindsey-graham-trump-cdc/?collection-id=242252,False,"The senator defended President Donald Trump's handling of the new coronavirus outbreak, but he didn't go this far.",False
71,https://www.snopes.com/fact-check/trump-profit-covid-19/?collection-id=242252,False,"The U.S. president’s finances are complex, but does Donald Trump actually benefit from the CDC’s testing procedures for the new coronavirus?",False
72,https://www.snopes.com/fact-check/trump-profit-hydroxychloroquine/?collection-id=243572,Mostly False,The U.S. president is invested in several mutual funds — some of which include very minor stakes in pharmaceutical companies.,Mostly False
73,https://www.snopes.com/fact-check/trump-golf-rallies-coronavirus/?collection-id=243572,True,"After Sen. Mitch McConnell suggested the government's response to the initial coronavirus outbreak was in part distracted by the president's impeachment, rebuttal memes started flying.",True
74,https://www.snopes.com/fact-check/us-tons-ppe-china/?collection-id=243572,True,Critics have questioned the wisdom of exporting to China medical supplies that would soon be vitally needed in the U.S.,True
75,https://www.snopes.com/news/2020/03/27/trump-threatens-tv-stations-over-ad/?collection-id=243572,News,"A cease-and-desist letter from the Trump-Pence campaign committee accuses stations of ""airing a patently false, misleading, and deceptive advertisement.""",News
76,https://www.snopes.com/fact-check/trump-public-officials-pay/?collection-id=243572,Misattributed,It appears something got lost in translation here. ,Misattributed
77,https://www.snopes.com/news/2020/04/01/covid-19-bioweapon/?collection-id=240413,News,"The coronavirus responsible for COVID-19 has deadly adaptations that make it perfect for infecting humans. But this is a testament to natural selection, not bioengineering. ",News
78,https://www.snopes.com/fact-check/chinese-intelligence-coronavirus/?collection-id=240413,False,A piece of horror fiction was a little too believable for some readers. ,False
79,https://www.snopes.com/fact-check/soros-wuhan-lab/?collection-id=240413,False," Somehow, some way, business magnate George Soros gets accused of being involved in almost every politically contentious event.",False
80,https://www.snopes.com/fact-check/charles-lieber-arrested-coronavirus/?collection-id=240413,Mostly False,The arrest of a Harvard professor fueled conspiracy theories about the COVID-19 coronavirus disease outbreak in 2020.,Mostly False
81,https://www.snopes.com/fact-check/coronavirus-meme/?collection-id=240413,False,A conspiratorial meme about disease outbreaks got a number of key facts wrong.,False
82,https://www.snopes.com/fact-check/resident-evil-umbrella-coronavirus/?collection-id=240413,False,"Some concern arose over apparent connections between the video game ""Resident Evil"" and a new coronavirus outbreak.",False
83,https://www.snopes.com/fact-check/covid19-railroad-tankcar/?collection-id=240413,False,It's puzzling why more conspirators aren't caught when they operate so brazenly.,False
84,https://www.snopes.com/fact-check/suitcase-dead-birds-seized/?collection-id=240413,Mixture,A relatively mundane incident went viral due in part to rising fears about an outbreak of a new coronavirus. ,Mixture
85,https://www.snopes.com/fact-check/china-kill-coronavirus-patients/?collection-id=240413,False,A disreputable website spread unfounded claims in the wake of a new coronavirus outbreak. ,False
86,https://www.snopes.com/fact-check/sulfur-coronavirus-cremations/?collection-id=240413,False,A data map that appeared in a popular Twitter thread did not show what some people claimed.,False
87,https://www.snopes.com/fact-check/ventilators-warehouse-new-york/?collection-id=240413,False,Social media posts painted a misleading picture about the plan for distributing ventilators amid the coronavirus pandemic.,False
88,https://www.snopes.com/fact-check/5g-tower-torn-down-china-covid/?collection-id=240413,Miscaptioned,"This video is real, but it has nothing to do with 5G or the coronavirus pandemic.",Miscaptioned
89,https://www.snopes.com/fact-check/nostradamus-covid-19/?collection-id=243544,False,"If only people recognized ""predictions"" before the calamitous events they supposedly anticipate. ",False
90,https://www.snopes.com/fact-check/sylvia-browne-coronavirus/?collection-id=243544,Mixture,Lobbing vague claims about likely events does not a prediction make.,Mixture
91,https://www.snopes.com/fact-check/dean-koontz-predicted-coronavirus/?collection-id=243544,Mostly False,A speculative anticipation of a possibility is very different than a 'prediction.',Mostly False
92,https://www.snopes.com/fact-check/simpsons-predict-coronavirus/?collection-id=243544,False,"It might be time to raise our standards for ""predictions.""",False
93,https://www.snopes.com/fact-check/secret-terrius-predict-covid19/?collection-id=243544,False,"COVID-19 is caused by a coronavirus, but not all coronaviruses cause COVID-19. ",False
94,https://www.snopes.com/fact-check/resident-evil-umbrella-coronavirus/?collection-id=243544,False,"Some concern arose over apparent connections between the video game ""Resident Evil"" and a new coronavirus outbreak.",False
95,https://www.snopes.com/fact-check/time-magazine-cover-warnings/?collection-id=243544,True,Who could have seen this coming? Just about anyone who can read.,True
96,https://www.snopes.com/fact-check/abdu-sharkawy-coronavirus/?collection-id=238774,Correct Attribution,Readers inquired about a viral Facebook post amid an outbreak of the new coronavirus in 2020.,Correct Attribution
97,https://www.snopes.com/news/2020/03/05/uncle-coronavirus/?collection-id=238774,News,A viral Facebook post amplified dubious and potentially dangerous claims amid an outbreak of the new coronavirus. ,News
98,https://www.snopes.com/fact-check/zinc-lozenges-coronavirus/?collection-id=238774,Correct Attribution,"Amid an outbreak of coronavirus in 2020, an email from pathologist James Robb was heavily memed and exaggerated.",Correct Attribution
99,https://www.snopes.com/fact-check/italy-doctor-corona-not-flu/?collection-id=238774,Correct Attribution,"Physician: ""The situation is now nothing short of dramatic. No other words come to mind.""",Correct Attribution
100,https://www.snopes.com/fact-check/coronavirus-graph-spreading-faster/?collection-id=238774,Mixture,A video clip supposedly showing the exponential spread of a new coronavirus misled some viewers. ,Mixture
101,https://www.snopes.com/fact-check/corona-beer-fear-coronavirus/?collection-id=238774,False,A trope that suggests people are so dumb they think the beer and virus are related played out in some news reports.,False
102,https://www.snopes.com/fact-check/pence-conversation-coronavirus/?collection-id=238774,Labeled Satire,A routine review of content labeled satire.,Labeled Satire
103,https://www.snopes.com/fact-check/pope-francis-coronavirus/?collection-id=238774,False,An unreliable website furthered rumors about the pontiff's health in early 2020.,False
104,https://www.snopes.com/fact-check/trump-profit-covid-19/?collection-id=238774,False,"The U.S. president’s finances are complex, but does Donald Trump actually benefit from the CDC’s testing procedures for the new coronavirus?",False
105,https://www.snopes.com/fact-check/free-case-of-baby-formula/?collection-id=238774,False,You can't conjure up a giveaway out of thin air. ,False
106,https://www.snopes.com/fact-check/mcdonalds-free-kids-lunches/?collection-id=238774,Mixture,A few McDonald's locations in the U.S. made a major announcement about kids' meals.,Mixture
107,https://www.snopes.com/fact-check/red-cross-coronavirus-scams/?collection-id=238774,Scam,Scams involving the disaster relief organization are unfortunately not new.,Scam
108,https://www.snopes.com/fact-check/plague-repeat-century/?collection-id=244110,Mixture,The predictive value of cherry-picked data is generally low to insignificant.,Mixture
109,https://www.snopes.com/fact-check/pat-robertson-oral-sex-coronavirus/?collection-id=244110,Labeled Satire,A routine review of content labeled satire.,Labeled Satire
110,https://www.snopes.com/fact-check/kathleen-omara-1919-poem/?collection-id=244110,Misattributed,A global pandemic did indeed inspire this poem. But that's as far as it goes.,Misattributed
111,https://www.snopes.com/fact-check/tracking-stimulus-check/?collection-id=244110,False,The IRS has not announced if Americans will be able to track the status of their stimulus payments as they do federal income tax refunds.,False
112,https://www.snopes.com/fact-check/thieves-masks-hoax/?collection-id=244110,False,Memes exploiting fear over the ongoing coronavirus pandemic have been widespread on social media.,False
113,https://www.snopes.com/fact-check/teen-insurance-coronavirus/?collection-id=244110,Mixture,A story that went viral was later clarified with regard to key details.,Mixture
114,https://www.snopes.com/fact-check/text-nhs-worker-coronavirus/?collection-id=244110,False,"A viral hoax warned against going out to buy bread, of all things, during the COVID-19 pandemic. ",False
115,https://www.snopes.com/fact-check/dolphins-swans-italy-lockdown/?collection-id=244110,Mixture,A few wildlife sightings were excitedly shared across social media as a note of sunny news amid the bleak reality of the coronavirus pandemic.,Mixture
116,https://www.snopes.com/fact-check/spotted-malabar-civet-coronavirus/?collection-id=244110,Mostly False,Shelter-in-place orders amid the coronavirus pandemic may have given wildlife ⁠— and our imaginations ⁠— a little extra room to roam. ,Mostly False
117,https://www.snopes.com/fact-check/orangutan-handwashing-coronavirus/?collection-id=244110,Miscaptioned,Sandra the orangutan loves to wash her hands. We should all be more like Sandra. ,Miscaptioned
118,https://www.snopes.com/fact-check/empire-state-building-coronavirus/?collection-id=244110,True,A strange sight for strange times. ,True
119,https://www.snopes.com/fact-check/cs-lewis-quote-1942/?collection-id=244110,Misattributed,"A ""quote"" shared widely during the COVID-19 pandemic may have felt timely, but that is probably because it was written in 2020.",Misattributed
120,https://www.snopes.com/fact-check/violent-aftermath-of-coronavirus/?collection-id=241855,Miscaptioned,Speculation does not equal evidence. ,Miscaptioned
121,https://www.snopes.com/fact-check/people-collapsing-coronavirus/?collection-id=241855,Unproven,"A spokesperson for the World Health Organization said that fainting in this manner from coronavirus would be ""atypical.""",Unproven
122,https://www.snopes.com/news/2020/02/18/coronavirus-china-disinfection-video/?collection-id=241855,News,"A People's Daily video claiming to show ""full-front disinfection work"" in Wuhan included footage taken at an airport in Taiwan.",News
123,https://www.snopes.com/fact-check/italy-army-coffins-coronavirus/?collection-id=241855,True,A stark illustration of the tragic impact coronavirus had on parts of Italy in 2020. ,True
124,https://www.snopes.com/fact-check/mass-graves-italy-coronavirus/?collection-id=241855,False,"So far as we can tell, actress Tiffani Thiessen was not working for the CDC during the COVID-19 pandemic. ",False
125,https://www.snopes.com/fact-check/coronavirus-graph-spreading-faster/?collection-id=241855,Mixture,A video clip supposedly showing the exponential spread of a new coronavirus misled some viewers. ,Mixture
126,https://www.snopes.com/fact-check/coughing-on-produce/?collection-id=241855,False,"A reported instance of ""teens doing dumb things on social media"" may be something less than a national craze.",False
127,https://www.snopes.com/fact-check/dolphins-swans-italy-lockdown/?collection-id=241855,Mixture,A few wildlife sightings were excitedly shared across social media as a note of sunny news amid the bleak reality of the coronavirus pandemic.,Mixture
128,https://www.snopes.com/fact-check/orangutan-handwashing-coronavirus/?collection-id=241855,Miscaptioned,Sandra the orangutan loves to wash her hands. We should all be more like Sandra. ,Miscaptioned
129,https://www.snopes.com/fact-check/msnbc-hope-coronavirus-kills/?collection-id=241855,False,This false rumor demonstrates how one subtle video edit can achieve a huge deception. ,False
130,https://www.snopes.com/fact-check/hair-dryer-coronavirus/?collection-id=241855,False,A viral video that claims breathing hot air from a hair dryer could cure COVID-19 demonstrates a basic and dangerous lack of understanding about science.,False
131,https://www.snopes.com/news/2020/03/20/grocery-stores-special-hours/?collection-id=242229,News,We've compiled a list of major grocery chains offering dedicated hours set aside for members of vulnerable populations during the COVID-19 pandemic.,News
132,https://www.snopes.com/fact-check/mcdonalds-free-kids-lunches/?collection-id=242229,Mixture,A few McDonald's locations in the U.S. made a major announcement about kids' meals.,Mixture
133,https://www.snopes.com/fact-check/starbucks-coupon-scam/?collection-id=242229,Scam,Coupon scams are not uncommon — with or without a global pandemic.,Scam
134,https://www.snopes.com/fact-check/hobby-lobby-coronavirus/?collection-id=242229,Mixture,"Hobby Lobby reportedly sent a letter to employees explaining its stores were staying open during the COVID-19 pandemic because, in part, CEO David Green's wife had received reassurances from God. ",Mixture
135,https://www.snopes.com/fact-check/free-case-of-baby-formula/?collection-id=242229,False,You can't conjure up a giveaway out of thin air. ,False
136,https://www.snopes.com/fact-check/costco-bath-tissue-recall/?collection-id=242229,False,"Even if COVID-19 hasn't infected the entire population, a mania for buying bathroom tissue apparently has. ",False
137,https://www.snopes.com/fact-check/amazon-suspending-deliveries-covid/?collection-id=242229,Mostly False,An unclear headline and a paywalled article led to some confusion about Amazon's announcement. ,Mostly False
138,https://www.snopes.com/fact-check/amazon-donations-sick-leave/?collection-id=242229,True,"After being called out for its approach to supporting seasonal and contract workers during times of crisis, the retail giant made some edits. ",True
139,https://www.snopes.com/fact-check/corona-beer-fear-coronavirus/?collection-id=242229,False,A trope that suggests people are so dumb they think the beer and virus are related played out in some news reports.,False
140,https://www.snopes.com/fact-check/vegan-food-unsold/?collection-id=242229,Miscaptioned,Even looming food shortages are apparently not enough to prompt some consumers to try soy- and tofu-based products.,Miscaptioned
141,https://www.snopes.com/fact-check/trump-profit-covid-19/?collection-id=242229,False,"The U.S. president’s finances are complex, but does Donald Trump actually benefit from the CDC’s testing procedures for the new coronavirus?",False
142,https://www.snopes.com/fact-check/kushner-oscar-covid/?collection-id=242229,Mixture,"Oscar, a digital health-insurance startup that recently set up a service for users to find COVID-19 testing centers, was co-founded by Joshua Kushner. ",Mixture
143,https://www.snopes.com/fact-check/cbs-news-italian-hospital/?collection-id=241219,True,"The news outlet acknowledged the error, but that wasn't the end of the story.",True
144,https://www.snopes.com/fact-check/joe-exotic-coronavirus/?collection-id=241219,Mostly False,The Netflix documentary subject was put in isolation after he supposedly came in contact with someone who tested positive for COVID-19.,Mostly False
145,https://www.snopes.com/fact-check/eminem-coronavirus/?collection-id=241219,False,Will the real author of this viral joke please stand up?,False
146,https://www.snopes.com/fact-check/daniel-radcliffe-coronavirus/?collection-id=241219,False,An imposter Twitter account spread misinformation amid a 2020 outbreak of the new coronavirus.,False
147,https://www.snopes.com/fact-check/tom-hanks-volleyball-coronavirus/?collection-id=241219,False,Tom Hanks and Rita Wilson truly did announce they had tested positive for the new coronavirus in March 2020. ,False
148,https://www.snopes.com/fact-check/simpsons-predict-coronavirus/?collection-id=241219,False,"It might be time to raise our standards for ""predictions.""",False
149,https://www.snopes.com/fact-check/secret-terrius-predict-covid19/?collection-id=241219,False,"COVID-19 is caused by a coronavirus, but not all coronaviruses cause COVID-19. ",False
